Track_URI,Track_Name,Main_Artist,Album,Track_Popularity,Release_Year,Album_Popularity,Artist_Popularity,Artist_Followers,Artist_Genres
spotify:track:3A3WCIkkm5MqGRnc4LT6fz,"California Love - Original Version",2Pac,"The Best of 2Pac - Pt. 1: Thug",0,2007,0,78,15843276,"g funk, gangster rap, hip hop, rap, west coast rap"
spotify:track:5ByAIlEEnxYdvpnezg7HTX,"Juicy - 2005 Remaster","The Notorious B.I.G.","Ready to Die (The Remaster)",80,1994,79,76,9107911,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
spotify:track:0j5X6DrzkgY64Mm8NQp5mi,"Lose Yourself - Soundtrack Version",Eminem,"Lose Yourself (International Version)",0,2002,0,88,74360232,"detroit hip hop, hip hop, rap"
spotify:track:2ltaeJyPESnEi32ef025lL,"Nuthin' But a 'G' Thang","Snoop Dogg","Me And My Homies",0,2005,0,81,9993866,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap"
spotify:track:2MuJbBWAVewREJmB8WdGJ3,"It Was A Good Day","Ice Cube","The Essentials",62,2008,57,73,7182301,"conscious hip hop, g funk, gangster rap, hip hop, rap, west coast rap"
spotify:track:6fqqAsCYfDOtXAD8Ydo06K,"Tipsy - Club Mix",J-Kwon,Tipsy,61,2001,51,49,249364,"dirty south rap, southern hip hop"
spotify:track:20LxTsa6936zOlzTWqoPVt,"The Next Episode","Dr. Dre","2001 (Explicit Version)",0,1999,0,78,10140981,"g funk, gangster rap, hip hop, rap, west coast rap"
spotify:track:6Tsu3OsuMz4KEGKbOYd6A0,"Hypnotize - 2007 Remaster","The Notorious B.I.G.","Greatest Hits",75,2007,74,76,9107911,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
spotify:track:5l8DtC184m362w8xMd21L3,"Running Your Mouth - Featuring Snoop Dogg, Nate Dogg, Fabolous and Busta Rhymes Explicit Album Version","The Notorious B.I.G.","Greatest Hits",0,2007,0,76,9107911,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
spotify:track:2g8HN35AnVGIk7B8yMucww,"Big Poppa - 2005 Remaster","The Notorious B.I.G.","Ready to Die (The Remaster)",83,1994,79,76,9107911,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
spotify:track:3Pg8D3Ozee2hpU5u8Inp5Y,"1970 Somethin' - featuring The Game and Faith Evans Explicit Album Version","The Notorious B.I.G.","Duets: The Final Chapter",0,2005,0,76,9107911,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
spotify:track:0Bd3oaSitY4a57zlwV9sG6,"Notorious Thugs","The Notorious B.I.G.","Life After Death (Deluxe Version)",0,1997,0,76,9107911,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
spotify:track:6Z5d0kNhqxga62Snvvk8X8,"Can I Get Witcha","The Notorious B.I.G.","Born Again",0,1999,0,76,9107911,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
spotify:track:35gEwPklT8wDTPOM9lNRnQ,Biggie,"The Notorious B.I.G.","Born Again",0,1999,0,76,9107911,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
spotify:track:1fGHOnbIPoo1tPwpd70MsY,"Come On","The Notorious B.I.G.","Born Again",0,1999,0,76,9107911,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
spotify:track:3lZpRrikvXTFli0qyU7Q9q,"Rappers Delight","The Sugarhill Gang","Hip To The Hop: 30th Anniversary Of Hip Hop Hip To Da Hop",0,2009,0,49,335789,"east coast hip hop, funk, new jersey rap, old school hip hop"
spotify:track:0jGgxmO82YIGkcoRb4jngg,"Ghetto Gospel - (Explicit)",2Pac,"The Best of 2Pac - Pt. 2: Life",0,2007,0,78,15843276,"g funk, gangster rap, hip hop, rap, west coast rap"
